weight,std_dev
1,371.99543007945675
2,292.8427905890804
3,274.18515641806727
4,208.2217567882857
5,223.78069621841829
6,183.6532057983198
7,158.20840685627297
8,159.334239885845
9,174.18897783729025
10,148.2423691122076
11,135.61563331710693
12,116.09220473399581
13,107.42951177399998
14,111.33597801250053
15,102.68982422810939
16,94.58646837682439
17,91.32469545528198
18,99.3513965679396
19,86.86771552193599
20,93.73313181580993
21,110.41014446145789
22,86.27398217307463
23,94.7718312580273
24,97.93160878899111
25,99.58262900727215
26,110.58978252985219
27,113.43588497472923
28,113.7123564086155
29,99.7155955706027
30,115.57335333025516
31,101.10489602388205
32,104.25929215182693
33,88.12491134747314
34,83.6719785830358
35,82.57178694929642
36,72.67392930067838
37,95.74392931147123
38,97.95356042533625
39,98.10606505206495
40,101.00693045529104
41,95.79509382009081
42,103.65905652667306
43,102.5587636430939
44,95.84831766911718
45,92.28434320078352
46,94.01542426644683
47,104.6255226988138
48,93.26628544120325
49,78.23554179527359
50,74.04593169107942
51,83.34146626979873
52,81.30559636335005
53,76.6961537497155
54,79.08097116247372
55,65.59954268133278
56,82.97710527609408
57,70.24528453924862
58,67.69268793599498
59,67.57514335907841
60,64.65523954019504
61,66.86777998408502
62,73.97026429586418
63,73.02465337131017
64,62.83311228962003
65,69.25243678023178
66,60.63744717581702
67,67.50925862428056
68,63.777739063093165
69,65.82400777831748
70,62.432363402325244
71,77.26836351314812
72,63.24239084664652
73,53.602238759216014
74,67.17812143845643
75,72.7626277700304
76,65.63764163953486
77,66.47781584859719
78,71.4142842854285
79,72.24610716156269
80,64.16385275215322
81,69.25676862227981
82,76.7385170562997
83,79.20858539325141
84,72.26202322105298
85,80.48664485490745
86,68.49525531013079
87,72.45343332099591
88,68.41052550594829
89,68.75463620731333
90,68.67022644494483
91,58.23486927949612
92,74.48825410761081
93,62.133726751258045
94,64.52518888000252
95,56.43491826874564
96,77.9467767133446
97,67.8837241170518
98,63.049980174461595
99,64.98461356351979
100,60.71737807250903
101,72.02568986132655
102,67.54776088072794
103,66.12715024859305
104,57.58298359758723
105,63.41845157365481
106,65.9840889912106
107,57.336724705898575
108,63.97655820689325
109,74.41505224079333
110,68.71098893190229
111,73.9330778474696
112,66.45148606314234
113,66.76226479082327
114,69.47157692178867
115,77.43319701523372
116,56.79084433251543
117,69.51330807838166
118,69.87059467329586
119,68.00661732508094
120,51.713634565750645
121,54.93359627768785
122,52.32781287231485
123,62.12487424534556
124,68.46312876286038
125,62.259938965598096
126,53.93329213018616
127,54.378304497290095
128,54.898998169365534
129,47.7032493652162
130,61.49390213671596
131,47.63297177376192
132,38.16673944680106
133,51.00490172522637
134,52.406106514413
135,55.348893394538614
136,57.80830390177522
137,62.75587621888487
138,62.2904487060416
139,56.63832624645612
140,59.42894917462365
141,62.5187971733302
142,43.12307966738925
143,52.905576265645195
144,53.35353783958473
145,59.570126741513654
146,62.52599459424856
147,55.614746245937326
148,64.32728814430156
149,55.60575509783138
150,50.60237148592939
151,56.366656810564876
152,51.713634565750645
153,50.08592616693835
154,55.91153727094257
155,47.83513353174631
156,47.08821508615505
157,45.02554830315784
158,43.777848279695064
159,54.54447726397238
160,45.71542409296889
161,44.02839992550263
162,45.22278186931892
163,48.879443532020694
164,51.25621913485231
165,56.22988529243146
166,42.96161077054723
167,43.266615305567875
168,43.96020928066653
169,50.16771870436207
170,44.588115008374146
171,34.35403906384226
172,36.51438072869373
173,36.864617182333525
174,35.074207047344636
175,43.76985263854563
176,43.96134665817233
177,35.974991313411046
178,48.61172698022567
179,44.20180991769455
180,42.07017946241732
181,46.08578956685022
182,42.77733044499154
183,42.97441099072796
184,46.879633104366334
185,34.793677586596104
186,44.580264691901505
187,30.92086674076262
188,38.12741795611132
189,45.922761241022954
190,37.944696599129635
191,37.0148618800611
192,41.137574065566874
193,50.59347784052802
194,35.49507008022382
195,43.07319351986801
196,46.88496560732448
197,41.97261011659866
198,40.08740450565489
199,39.581561363847186
200,39.888594861188075
